date,buy plants online,caring for plant,dying plant,isPartial
2016-01-31,5,4,4,False
2016-02-07,9,2,15,False
2016-02-14,11,7,9,False
2016-02-21,13,7,11,False
2016-02-28,9,5,13,False
2016-03-06,9,7,9,False
2016-03-13,4,6,15,False
2016-03-20,6,9,11,False
2016-03-27,11,13,13,False
2016-04-03,13,11,15,False
2016-04-10,9,13,37,False
2016-04-17,17,6,26,False
2016-04-24,5,9,29,False
2016-05-01,9,13,20,False
2016-05-08,8,11,23,False
2016-05-15,13,11,19,False
2016-05-22,14,10,25,False
2016-05-29,10,8,35,False
2016-06-05,8,11,29,False
2016-06-12,6,10,35,False
2016-06-19,6,4,43,False
2016-06-26,12,2,27,False
2016-07-03,10,4,31,False
2016-07-10,8,4,28,False
2016-07-17,4,8,30,False
2016-07-24,6,10,10,False
2016-07-31,4,4,30,False
2016-08-07,8,4,12,False
2016-08-14,6,4,8,False
2016-08-21,10,8,22,False
2016-08-28,6,13,34,False
2016-09-04,6,8,11,False
2016-09-11,11,2,8,False
2016-09-18,6,6,17,False
2016-09-25,4,6,13,False
2016-10-02,5,7,15,False
2016-10-09,7,4,15,False
2016-10-16,7,13,28,False
2016-10-23,2,0,9,False
2016-10-30,5,2,9,False
2016-11-06,9,3,9,False
2016-11-13,5,2,18,False
2016-11-20,8,4,6,False
2016-11-27,5,5,8,False
2016-12-04,7,5,7,False
2016-12-11,5,5,12,False
2016-12-18,0,4,6,False
2016-12-25,11,8,17,False
2017-01-01,9,4,11,False
2017-01-08,3,3,17,False
2017-01-15,3,5,19,False
2017-01-22,10,3,18,False
2017-01-29,8,3,13,False
2017-02-05,7,3,15,False
2017-02-12,3,5,15,False
2017-02-19,10,5,8,False
2017-02-26,5,9,13,False
2017-03-05,13,6,5,False
2017-03-12,8,13,16,False
2017-03-19,10,12,15,False
2017-03-26,18,7,18,False
2017-04-02,12,20,28,False
2017-04-09,12,9,14,False
2017-04-16,15,8,29,False
2017-04-23,12,8,29,False
2017-04-30,15,7,7,False
2017-05-07,24,9,29,False
2017-05-14,16,16,27,False
2017-05-21,13,9,22,False
2017-05-28,9,6,24,False
2017-06-04,12,18,25,False
2017-06-11,9,5,37,False
2017-06-18,9,14,37,False
2017-06-25,6,9,37,False
2017-07-02,8,8,31,False
2017-07-09,6,4,39,False
2017-07-16,6,13,53,False
2017-07-23,11,15,37,False
2017-07-30,2,7,32,False
2017-08-06,5,2,11,False
2017-08-13,4,7,9,False
2017-08-20,9,9,24,False
2017-08-27,5,14,16,False
2017-09-03,12,7,12,False
2017-09-10,8,3,21,False
2017-09-17,8,7,12,False
2017-09-24,14,5,10,False
2017-10-01,3,2,20,False
2017-10-08,0,8,12,False
2017-10-15,10,3,14,False
2017-10-22,3,7,8,False
