date,buy plants online,caring for plant,dying plant,isPartial
2016-01-31,8,11,17,False
2016-02-07,8,2,17,False
2016-02-14,9,9,15,False
2016-02-21,9,11,19,False
2016-02-28,6,6,15,False
2016-03-06,4,9,13,False
2016-03-13,9,13,9,False
2016-03-20,8,8,20,False
2016-03-27,15,6,15,False
2016-04-03,9,2,8,False
2016-04-10,12,10,27,False
2016-04-17,19,8,17,False
2016-04-24,8,8,28,False
2016-05-01,4,19,25,False
2016-05-08,8,10,17,False
2016-05-15,8,8,21,False
2016-05-22,12,14,40,False
2016-05-29,12,6,43,False
2016-06-05,14,10,26,False
2016-06-12,8,6,40,False
2016-06-19,8,8,36,False
2016-06-26,14,12,28,False
2016-07-03,11,4,23,False
2016-07-10,12,6,27,False
2016-07-17,4,2,16,False
2016-07-24,8,6,22,False
2016-07-31,4,8,33,False
2016-08-07,15,11,19,False
2016-08-14,7,0,15,False
2016-08-21,4,10,19,False
2016-08-28,2,10,37,False
2016-09-04,4,6,12,False
2016-09-11,8,0,17,False
2016-09-18,2,6,23,False
2016-09-25,8,2,8,False
2016-10-02,8,6,19,False
2016-10-09,6,12,12,False
2016-10-16,4,12,19,False
2016-10-23,4,0,11,False
2016-10-30,4,0,15,False
2016-11-06,4,2,11,False
2016-11-13,6,4,15,False
2016-11-20,12,0,0,False
2016-11-27,2,9,12,False
2016-12-04,7,9,9,False
2016-12-11,12,5,11,False
2016-12-18,4,6,12,False
2016-12-25,8,4,14,False
2017-01-01,4,6,11,False
2017-01-08,0,4,16,False
2017-01-15,7,4,12,False
2017-01-22,5,5,16,False
2017-01-29,5,5,21,False
2017-02-05,5,9,14,False
2017-02-12,3,7,21,False
2017-02-19,10,9,12,False
2017-02-26,8,5,11,False
2017-03-05,12,7,17,False
2017-03-12,9,7,21,False
2017-03-19,10,10,21,False
2017-03-26,24,5,14,False
2017-04-02,12,9,34,False
2017-04-09,7,7,14,False
2017-04-16,21,12,26,False
2017-04-23,9,14,19,False
2017-04-30,7,2,30,False
2017-05-07,16,7,29,False
2017-05-14,11,17,36,False
2017-05-21,10,12,25,False
2017-05-28,14,12,28,False
2017-06-04,6,11,39,False
2017-06-11,6,19,40,False
2017-06-18,7,13,40,False
2017-06-25,10,2,25,False
2017-07-02,10,23,35,False
2017-07-09,11,4,46,False
2017-07-16,4,13,35,False
2017-07-23,12,6,25,False
2017-07-30,7,6,30,False
2017-08-06,2,7,18,False
2017-08-13,9,7,17,False
2017-08-20,7,5,16,False
2017-08-27,14,7,20,False
2017-09-03,12,5,11,False
2017-09-10,5,3,28,False
2017-09-17,7,7,14,False
2017-09-24,9,9,11,False
2017-10-01,5,12,9,False
2017-10-08,2,5,19,False
2017-10-15,14,9,21,False
2017-10-22,5,3,16,False
2017-10-29,2,9,19,False
2017-11-05,14,9,15,False
2017-11-12,3,9,17,False
2017-11-19,11,7,11,False
2017-11-26,2,2,8,False
2017-12-03,3,10,14,False
2017-12-10,2,9,15,False
2017-12-17,5,5,16,False
2017-12-24,10,4,12,False
2017-12-31,14,9,13,False
2018-01-07,7,12,15,False
2018-01-14,2,5,21,False
2018-01-21,10,7,22,False
2018-01-28,2,9,19,False
2018-02-04,8,3,20,False
2018-02-11,8,8,23,False
2018-02-18,12,7,24,False
2018-02-25,7,5,21,False
2018-03-04,7,10,22,False
2018-03-11,17,3,18,False
2018-03-18,13,10,24,False
2018-03-25,16,11,21,False
2018-04-01,14,10,26,False
2018-04-08,12,12,15,False
2018-04-15,14,10,29,False
2018-04-22,25,3,24,False
