date,trees,plants,flowers,gardening,isPartial
2016-01-31,16,20,33,2,False
2016-02-07,15,22,51,2,False
2016-02-14,16,23,36,2,False
2016-02-21,18,28,31,3,False
2016-02-28,18,27,32,3,False
2016-03-06,19,28,35,3,False
2016-03-13,21,28,34,3,False
2016-03-20,22,29,37,4,False
2016-03-27,22,29,37,3,False
2016-04-03,21,33,39,3,False
2016-04-10,22,34,39,4,False
2016-04-17,25,37,41,4,False
2016-04-24,24,37,44,4,False
2016-05-01,23,36,76,4,False
2016-05-08,22,37,53,4,False
2016-05-15,21,36,39,3,False
2016-05-22,21,33,37,3,False
2016-05-29,20,32,38,3,False
2016-06-05,19,29,36,3,False
2016-06-12,18,25,32,2,False
2016-06-19,19,24,32,2,False
2016-06-26,17,24,31,2,False
2016-07-03,17,23,29,2,False
2016-07-10,18,22,30,2,False
2016-07-17,17,20,31,2,False
2016-07-24,17,20,29,2,False
2016-07-31,17,19,31,2,False
2016-08-07,16,18,30,2,False
2016-08-14,16,18,27,2,False
2016-08-21,18,19,27,1,False
2016-08-28,19,19,27,2,False
2016-09-04,20,21,28,2,False
2016-09-11,19,22,29,1,False
2016-09-18,18,22,31,1,False
2016-09-25,19,23,36,1,False
2016-10-02,20,21,29,1,False
2016-10-09,19,22,29,1,False
2016-10-16,20,23,28,1,False
2016-10-23,20,22,27,1,False
2016-10-30,21,20,25,1,False
2016-11-06,22,19,24,1,False
2016-11-13,27,22,26,1,False
2016-11-20,38,17,24,1,False
2016-11-27,44,20,23,1,False
2016-12-04,36,20,24,1,False
2016-12-11,27,19,25,1,False
2016-12-18,23,13,26,1,False
2016-12-25,21,14,22,1,False
2017-01-01,17,17,23,1,False
2017-01-08,18,19,26,1,False
2017-01-15,16,19,27,2,False
2017-01-22,16,21,28,1,False
2017-01-29,16,20,32,2,False
2017-02-05,17,23,44,2,False
2017-02-12,17,23,57,2,False
2017-02-19,19,25,31,3,False
2017-02-26,19,26,31,3,False
2017-03-05,20,28,35,2,False
2017-03-12,18,25,35,3,False
2017-03-19,20,29,37,3,False
2017-03-26,22,30,38,3,False
2017-04-02,22,33,40,3,False
2017-04-09,23,35,44,3,False
2017-04-16,24,37,42,3,False
2017-04-23,24,37,46,4,False
2017-04-30,23,36,50,4,False
2017-05-07,22,38,79,3,False
2017-05-14,22,38,50,3,False
2017-05-21,21,33,40,3,False
2017-05-28,22,33,39,3,False
2017-06-04,19,30,36,3,False
2017-06-11,18,28,34,2,False
2017-06-18,18,27,32,2,False
2017-06-25,19,26,31,2,False
2017-07-02,19,26,32,2,False
2017-07-09,18,24,31,2,False
2017-07-16,18,23,31,2,False
2017-07-23,18,22,30,2,False
2017-07-30,17,22,30,2,False
2017-08-06,17,20,30,2,False
2017-08-13,17,19,29,1,False
2017-08-20,17,20,27,1,False
2017-08-27,17,21,28,1,False
2017-09-03,18,22,26,1,False
2017-09-10,19,22,29,1,False
2017-09-17,19,23,30,1,False
2017-09-24,19,24,30,1,False
2017-10-01,18,23,29,1,False
2017-10-08,20,22,29,1,False
2017-10-15,20,22,30,1,False
2017-10-22,20,23,28,1,False
2017-10-29,22,22,26,1,False
2017-11-05,25,22,27,1,False
2017-11-12,28,21,26,1,False
2017-11-19,40,16,24,1,False
2017-11-26,46,20,24,1,False
2017-12-03,38,21,25,1,False
2017-12-10,29,19,25,1,False
2017-12-17,24,15,27,1,False
2017-12-24,20,13,21,1,False
2017-12-31,18,16,23,1,False
2018-01-07,16,19,26,2,False
2018-01-14,15,20,27,1,False
2018-01-21,16,21,29,2,False
2018-01-28,16,23,32,2,False
2018-02-04,16,23,40,2,False
2018-02-11,16,24,63,2,False
2018-02-18,19,25,31,2,False
2018-02-25,19,26,33,2,False
2018-03-04,19,28,33,2,False
2018-03-11,18,27,33,3,False
2018-03-18,20,29,35,3,False
2018-03-25,20,29,36,3,False
2018-04-01,20,29,38,3,False
2018-04-08,22,32,39,3,False
2018-04-15,22,33,41,3,False
2018-04-22,25,38,47,3,False
2018-04-29,25,40,52,4,False
2018-05-06,26,44,87,4,False
2018-05-13,24,39,54,3,False
2018-05-20,23,38,44,3,False
2018-05-27,22,37,40,3,False
2018-06-03,20,31,37,2,False
2018-06-10,19,29,34,2,False
2018-06-17,19,27,32,2,False
2018-06-24,20,27,32,2,False
2018-07-01,20,27,31,2,False
2018-07-08,19,25,31,2,False
2018-07-15,19,24,31,2,False
2018-07-22,19,24,30,2,False
2018-07-29,18,23,32,2,False
2018-08-05,17,22,30,2,False
2018-08-12,18,22,31,2,False
2018-08-19,18,22,31,1,False
2018-08-26,18,23,30,2,False
2018-09-02,19,22,29,2,False
2018-09-09,19,24,29,1,False
2018-09-16,20,25,30,1,False
2018-09-23,20,24,30,1,False
2018-09-30,19,24,29,1,False
2018-10-07,21,24,30,1,False
2018-10-14,20,24,28,1,False
2018-10-21,21,23,25,1,False
2018-10-28,23,22,27,1,False
2018-11-04,25,22,26,1,False
2018-11-11,30,23,25,1,False
2018-11-18,42,16,22,1,False
2018-11-25,51,24,24,1,False
2018-12-02,44,20,24,1,False
2018-12-09,32,21,25,1,False
2018-12-16,27,18,26,1,False
2018-12-23,25,14,22,1,False
