date,daffodil,marigold,tulip,daisy,lily,isPartial
2016-01-31,2,4,8,39,60,False
2016-02-07,2,4,9,39,57,False
2016-02-14,3,4,11,40,58,False
2016-02-21,4,4,11,41,53,False
2016-02-28,5,4,13,47,55,False
2016-03-06,5,4,14,46,56,False
2016-03-13,6,4,16,43,57,False
2016-03-20,6,4,21,42,59,False
2016-03-27,6,4,25,50,63,False
2016-04-03,5,4,30,69,61,False
2016-04-10,5,4,23,65,59,False
2016-04-17,5,5,20,51,58,False
2016-04-24,5,4,21,50,56,False
2016-05-01,4,5,26,48,66,False
2016-05-08,3,5,22,49,68,False
2016-05-15,2,5,14,45,70,False
2016-05-22,2,4,12,42,68,False
2016-05-29,2,3,10,40,73,False
2016-06-05,2,5,9,45,61,False
2016-06-12,2,3,9,36,57,False
2016-06-19,2,4,7,39,58,False
2016-06-26,1,4,9,36,59,False
2016-07-03,2,4,8,36,56,False
2016-07-10,2,4,8,34,56,False
2016-07-17,2,3,8,37,53,False
2016-07-24,1,3,9,32,52,False
2016-07-31,1,3,9,38,53,False
2016-08-07,2,3,7,31,72,False
2016-08-14,2,3,7,28,49,False
2016-08-21,1,3,7,32,53,False
2016-08-28,2,4,8,35,54,False
2016-09-04,1,4,8,36,54,False
2016-09-11,2,4,9,36,54,False
2016-09-18,1,3,8,41,54,False
2016-09-25,1,3,8,48,51,False
2016-10-02,2,3,7,37,52,False
2016-10-09,2,3,10,34,50,False
2016-10-16,2,2,8,36,49,False
2016-10-23,2,4,9,35,49,False
2016-10-30,1,4,7,35,50,False
2016-11-06,2,3,7,29,50,False
2016-11-13,1,2,7,34,50,False
2016-11-20,2,3,7,33,53,False
2016-11-27,1,3,6,36,49,False
2016-12-04,2,3,7,33,50,False
2016-12-11,1,3,6,35,47,False
2016-12-18,1,2,7,55,47,False
2016-12-25,1,3,6,44,49,False
2017-01-01,2,3,8,36,54,False
2017-01-08,2,3,8,33,57,False
2017-01-15,1,3,8,34,48,False
2017-01-22,2,2,9,37,49,False
2017-01-29,2,3,10,35,56,False
2017-02-05,3,3,10,44,52,False
2017-02-12,4,3,12,39,54,False
2017-02-19,4,3,13,43,51,False
2017-02-26,4,3,13,36,53,False
2017-03-05,5,3,12,37,53,False
2017-03-12,4,3,14,36,53,False
2017-03-19,6,4,15,37,55,False
2017-03-26,6,4,18,38,60,False
2017-04-02,7,4,20,40,58,False
2017-04-09,6,5,27,44,67,False
2017-04-16,6,5,28,40,65,False
2017-04-23,5,5,27,43,60,False
2017-04-30,3,5,26,42,67,False
2017-05-07,3,4,27,46,62,False
2017-05-14,3,5,16,44,63,False
2017-05-21,2,4,13,39,59,False
2017-05-28,3,4,11,40,61,False
2017-06-04,2,4,11,36,56,False
2017-06-11,1,3,9,36,58,False
2017-06-18,2,3,8,36,64,False
2017-06-25,1,4,9,36,69,False
2017-07-02,2,3,9,36,67,False
2017-07-09,1,3,9,35,67,False
2017-07-16,2,3,7,36,72,False
2017-07-23,2,3,9,34,69,False
2017-07-30,2,3,8,34,62,False
2017-08-06,2,3,9,34,60,False
2017-08-13,1,3,8,33,54,False
2017-08-20,1,3,9,31,54,False
2017-08-27,2,3,33,30,53,False
2017-09-03,2,3,30,31,46,False
2017-09-10,2,4,17,31,49,False
2017-09-17,2,4,11,37,52,False
2017-09-24,2,3,10,34,46,False
2017-10-01,2,3,8,34,46,False
2017-10-08,2,4,10,39,50,False
2017-10-15,2,3,9,33,47,False
2017-10-22,2,4,9,38,47,False
2017-10-29,2,6,9,34,44,False
2017-11-05,2,3,9,33,48,False
2017-11-12,2,2,9,36,45,False
2017-11-19,1,3,9,36,45,False
2017-11-26,1,3,11,43,44,False
2017-12-03,1,2,12,47,45,False
2017-12-10,1,3,12,55,45,False
2017-12-17,1,2,11,64,49,False
2017-12-24,1,3,8,58,49,False
2017-12-31,1,3,8,44,50,False
2018-01-07,2,3,10,40,51,False
2018-01-14,2,3,10,41,54,False
2018-01-21,2,3,10,39,51,False
2018-01-28,3,3,10,39,50,False
2018-02-04,2,3,10,35,47,False
2018-02-11,3,3,14,38,53,False
2018-02-18,4,3,12,34,52,False
2018-02-25,5,3,15,38,50,False
2018-03-04,5,3,15,38,55,False
2018-03-11,5,4,17,39,49,False
2018-03-18,6,4,24,39,52,False
2018-03-25,6,4,25,41,60,False
2018-04-01,7,4,26,41,56,False
2018-04-08,6,4,25,41,55,False
2018-04-15,5,4,28,40,53,False
2018-04-22,5,4,33,41,56,False
2018-04-29,5,5,31,44,57,False
2018-05-06,4,7,27,46,64,False
2018-05-13,3,5,18,45,66,False
2018-05-20,3,5,12,42,60,False
2018-05-27,2,5,11,39,61,False
2018-06-03,2,5,11,36,62,False
2018-06-10,2,4,9,42,53,False
2018-06-17,2,4,9,39,55,False
2018-06-24,2,3,9,38,56,False
2018-07-01,2,4,11,41,60,False
2018-07-08,2,4,9,37,60,False
2018-07-15,2,3,9,33,70,False
2018-07-22,2,4,9,37,74,False
2018-07-29,1,4,8,34,69,False
2018-08-05,2,4,8,36,61,False
2018-08-12,2,3,8,32,62,False
