date,lemon tree,cherry tree,apple tree,peach tree,orange tree,isPartial
2016-01-31,21,25,31,14,17,False
2016-02-07,25,34,34,13,20,False
2016-02-14,23,37,34,17,15,False
2016-02-21,25,39,34,18,21,False
2016-02-28,29,34,39,16,22,False
2016-03-06,23,45,41,18,19,False
2016-03-13,30,48,37,23,20,False
2016-03-20,26,56,41,21,17,False
2016-03-27,30,69,45,23,23,False
2016-04-03,30,54,42,23,18,False
2016-04-10,28,58,50,23,21,False
2016-04-17,33,63,50,26,20,False
2016-04-24,37,60,45,26,20,False
2016-05-01,24,61,48,20,23,False
2016-05-08,32,56,43,23,21,False
2016-05-15,32,53,47,20,19,False
2016-05-22,30,51,41,27,18,False
2016-05-29,31,52,43,22,25,False
2016-06-05,24,44,37,19,19,False
2016-06-12,24,45,46,22,19,False
2016-06-19,23,42,37,20,15,False
2016-06-26,22,34,33,26,16,False
2016-07-03,22,43,31,19,17,False
2016-07-10,23,34,36,24,19,False
2016-07-17,25,33,34,18,14,False
2016-07-24,27,28,30,20,13,False
2016-07-31,20,32,33,15,15,False
2016-08-07,21,26,36,15,12,False
2016-08-14,25,25,28,18,17,False
2016-08-21,20,25,32,20,14,False
2016-08-28,19,27,39,15,16,False
2016-09-04,25,25,44,14,18,False
2016-09-11,20,30,46,14,17,False
2016-09-18,17,26,50,13,17,False
2016-09-25,17,24,49,12,15,False
2016-10-02,19,27,43,12,15,False
2016-10-09,23,24,43,13,17,False
2016-10-16,20,24,37,12,17,False
2016-10-23,18,22,38,12,19,False
2016-10-30,24,23,31,10,21,False
2016-11-06,22,21,28,11,18,False
2016-11-13,23,25,31,12,19,False
2016-11-20,23,22,35,9,16,False
2016-11-27,21,20,30,10,20,False
2016-12-04,18,24,37,13,24,False
2016-12-11,15,20,28,10,15,False
2016-12-18,21,18,29,11,15,False
2016-12-25,15,20,26,11,13,False
2017-01-01,21,20,26,9,13,False
2017-01-08,22,22,34,10,17,False
2017-01-15,22,23,34,15,19,False
2017-01-22,21,28,34,11,18,False
2017-01-29,22,29,30,11,15,False
2017-02-05,22,26,31,14,17,False
2017-02-12,23,30,36,17,20,False
2017-02-19,25,44,38,16,19,False
2017-02-26,27,38,32,18,14,False
2017-03-05,30,45,35,20,22,False
2017-03-12,30,39,36,19,25,False
2017-03-19,27,42,42,17,23,False
2017-03-26,32,55,45,22,18,False
2017-04-02,24,57,45,24,16,False
2017-04-09,35,57,48,21,22,False
2017-04-16,32,65,45,24,23,False
2017-04-23,36,67,45,23,23,False
2017-04-30,31,58,45,21,21,False
2017-05-07,34,55,56,26,21,False
2017-05-14,24,54,46,22,19,False
2017-05-21,25,50,47,22,20,False
2017-05-28,34,54,51,21,19,False
2017-06-04,29,45,46,24,20,False
2017-06-11,25,41,42,21,21,False
2017-06-18,30,42,44,25,18,False
2017-06-25,27,44,44,23,16,False
2017-07-02,25,49,40,21,20,False
2017-07-09,29,43,40,22,19,False
2017-07-16,24,35,36,22,16,False
2017-07-23,22,40,36,23,18,False
2017-07-30,24,39,37,20,19,False
2017-08-06,35,35,36,20,20,False
2017-08-13,28,30,45,24,20,False
2017-08-20,22,29,37,15,17,False
2017-08-27,23,28,36,16,16,False
2017-09-03,25,32,38,18,17,False
2017-09-10,27,29,44,17,17,False
2017-09-17,21,29,55,17,17,False
2017-09-24,25,31,51,14,19,False
2017-10-01,22,23,47,13,21,False
2017-10-08,20,28,45,10,22,False
2017-10-15,24,24,46,11,23,False
2017-10-22,18,24,41,12,17,False
2017-10-29,19,23,32,11,19,False
2017-11-05,25,20,35,7,18,False
