date,vegetable garden,flower garden,isPartial
2016-01-31,17,24,False
2016-02-07,21,26,False
2016-02-14,25,38,False
2016-02-21,27,31,False
2016-02-28,33,46,False
2016-03-06,41,48,False
2016-03-13,42,50,False
2016-03-20,35,38,False
2016-03-27,44,39,False
2016-04-03,43,42,False
2016-04-10,41,47,False
2016-04-17,52,53,False
2016-04-24,43,47,False
2016-05-01,44,53,False
2016-05-08,43,49,False
2016-05-15,44,44,False
2016-05-22,47,36,False
2016-05-29,51,38,False
2016-06-05,33,28,False
2016-06-12,29,28,False
2016-06-19,24,29,False
2016-06-26,26,22,False
2016-07-03,18,24,False
2016-07-10,20,18,False
2016-07-17,16,21,False
2016-07-24,19,26,False
2016-07-31,17,28,False
2016-08-07,11,17,False
2016-08-14,14,14,False
2016-08-21,13,14,False
2016-08-28,12,19,False
2016-09-04,15,16,False
2016-09-11,15,18,False
2016-09-18,12,17,False
2016-09-25,13,18,False
2016-10-02,13,15,False
2016-10-09,12,16,False
2016-10-16,10,15,False
2016-10-23,11,13,False
2016-10-30,10,11,False
2016-11-06,8,11,False
2016-11-13,9,13,False
2016-11-20,7,10,False
2016-11-27,8,14,False
2016-12-04,7,10,False
2016-12-11,8,10,False
2016-12-18,10,9,False
2016-12-25,9,10,False
2017-01-01,13,16,False
2017-01-08,14,15,False
2017-01-15,14,18,False
2017-01-22,15,21,False
2017-01-29,16,23,False
2017-02-05,20,24,False
2017-02-12,22,33,False
2017-02-19,26,42,False
2017-02-26,28,40,False
2017-03-05,30,38,False
2017-03-12,26,37,False
2017-03-19,32,40,False
2017-03-26,35,41,False
2017-04-02,40,44,False
2017-04-09,50,49,False
2017-04-16,41,47,False
2017-04-23,43,51,False
2017-04-30,38,43,False
2017-05-07,49,51,False
2017-05-14,44,45,False
2017-05-21,40,39,False
2017-05-28,37,39,False
2017-06-04,32,32,False
2017-06-11,29,28,False
2017-06-18,27,27,False
2017-06-25,21,25,False
2017-07-02,25,24,False
2017-07-09,18,23,False
2017-07-16,21,22,False
2017-07-23,18,24,False
2017-07-30,18,23,False
2017-08-06,18,21,False
2017-08-13,13,19,False
2017-08-20,13,19,False
2017-08-27,13,18,False
2017-09-03,12,19,False
2017-09-10,11,14,False
2017-09-17,14,16,False
2017-09-24,11,14,False
2017-10-01,11,17,False
2017-10-08,11,15,False
2017-10-15,12,17,False
2017-10-22,10,17,False
2017-10-29,9,12,False
2017-11-05,9,15,False
2017-11-12,9,13,False
2017-11-19,6,12,False
2017-11-26,8,12,False
2017-12-03,9,13,False
2017-12-10,10,14,False
2017-12-17,10,13,False
2017-12-24,8,15,False
2017-12-31,12,15,False
2018-01-07,13,17,False
2018-01-14,17,19,False
2018-01-21,14,22,False
2018-01-28,17,25,False
2018-02-04,15,31,False
2018-02-11,19,32,False
2018-02-18,24,34,False
2018-02-25,23,45,False
2018-03-04,26,42,False
2018-03-11,27,47,False
2018-03-18,26,43,False
2018-03-25,33,37,False
2018-04-01,30,44,False
2018-04-08,33,39,False
2018-04-15,34,44,False
2018-04-22,45,49,False
2018-04-29,44,54,False
2018-05-06,50,58,False
2018-05-13,45,53,False
2018-05-20,46,47,False
2018-05-27,46,44,False
2018-06-03,34,39,False
2018-06-10,29,33,False
2018-06-17,26,23,False
2018-06-24,23,27,False
2018-07-01,21,23,False
2018-07-08,19,25,False
2018-07-15,17,25,False
2018-07-22,16,22,False
2018-07-29,13,22,False
2018-08-05,14,21,False
2018-08-12,13,22,False
2018-08-19,12,19,False
2018-08-26,12,16,False
2018-09-02,14,21,False
2018-09-09,10,20,False
2018-09-16,11,17,False
2018-09-23,10,19,False
2018-09-30,8,16,False
2018-10-07,10,17,False
2018-10-14,10,11,False
2018-10-21,8,17,False
2018-10-28,10,16,False
2018-11-04,8,15,False
2018-11-11,8,14,False
2018-11-18,7,10,False
2018-11-25,6,12,False
2018-12-02,7,13,False
2018-12-09,7,11,False
2018-12-16,6,13,False
2018-12-23,9,13,False
2018-12-30,12,16,False
2019-01-06,12,15,False
2019-01-13,14,18,False
2019-01-20,12,23,False
2019-01-27,12,19,False
2019-02-03,17,27,False
2019-02-10,12,32,False
2019-02-17,18,38,False
2019-02-24,16,37,False
2019-03-03,18,51,False
2019-03-10,27,50,False
2019-03-17,30,58,False
2019-03-24,32,51,False
2019-03-31,34,47,False
2019-04-07,38,54,False
2019-04-14,36,48,False
2019-04-21,39,47,False
2019-04-28,34,50,False
2019-05-05,41,53,False
2019-05-12,36,56,False
2019-05-19,39,45,False
2019-05-26,38,41,False
2019-06-02,36,33,False
2019-06-09,31,29,False
2019-06-16,28,27,False
2019-06-23,22,28,False
2019-06-30,22,25,False
2019-07-07,20,24,False
2019-07-14,19,21,False
2019-07-21,16,19,False
2019-07-28,16,22,False
2019-08-04,12,19,False
2019-08-11,12,20,False
2019-08-18,14,21,False
2019-08-25,14,20,False
2019-09-01,14,22,False
2019-09-08,11,19,False
2019-09-15,12,16,False
2019-09-22,13,19,False
2019-09-29,10,15,False
2019-10-06,9,17,False
2019-10-13,11,17,False
2019-10-20,10,14,False
2019-10-27,9,14,False
2019-11-03,8,15,False
2019-11-10,9,12,False
2019-11-17,10,15,False
2019-11-24,7,11,False
2019-12-01,7,9,False
2019-12-08,8,11,False
2019-12-15,8,13,False
2019-12-22,8,11,False
2019-12-29,11,18,False
2020-01-05,13,19,False
2020-01-12,12,22,False
2020-01-19,13,21,False
2020-01-26,12,19,False
2020-02-02,13,23,False
2020-02-09,17,33,False
2020-02-16,17,36,False
2020-02-23,21,43,False
2020-03-01,25,47,False
2020-03-08,28,40,False
2020-03-15,47,24,False
2020-03-22,75,34,False
2020-03-29,83,40,False
2020-04-05,100,45,False
2020-04-12,76,42,False
2020-04-19,88,56,False
2020-04-26,98,70,False
2020-05-03,94,79,False
2020-05-10,86,60,False
2020-05-17,88,59,False
2020-05-24,80,55,False
2020-05-31,66,44,False
2020-06-07,57,41,False
2020-06-14,50,42,False
2020-06-21,42,37,False
2020-06-28,41,32,False
2020-07-05,39,25,False
2020-07-12,36,32,False
2020-07-19,37,27,False
2020-07-26,29,25,False
2020-08-02,25,26,False
2020-08-09,21,25,False
2020-08-16,21,24,False
2020-08-23,22,23,False
2020-08-30,18,21,False
2020-09-06,22,21,False
2020-09-13,15,26,False
2020-09-20,16,21,False
2020-09-27,15,23,False
2020-10-04,14,20,False
2020-10-11,14,17,False
2020-10-18,16,17,False
