slug,state,state_abv,plant_species
ala,Alabama,AL,3874
ari,Arizona,AZ,3940
ark,Arkansas,AR,2380
cal,California,CA,7420
cnt,Colorado,CO,2160
col,Connecticut,CT,3380
del,Delaware,DE,1760
fla,Florida,FL,3900
geo,Georgia,GA,3280
ida,Idaho,ID,2680
ill,Illinois,IL,3280
ini,Indiana,IN,2240
iow,Iowa,IA,1780
kan,Kansas,KS,1940
kty,Kentucky,KY,2660
lou,Louisiana,LA,2700
mai,Maine,ME,2000
mas,Massachusetts,MA,2440
mic,Michigan,MI,2380
min,Minnesota,MN,1940
mnt,Montana,MT,2480
mry,Maryland,MD,2360
msi,Mississippi,MS,2480
mso,Missouri,MO,2440
nca,North Carolina,NC,3220
nda,North Dakota,ND,1280
neb,Nebraska,NEʠ,1640
nev,Nevada,NV,3040
nwh,New Hampshire,NH,1800
nwj,New Jersey,NJ,2360
nwm,New Mexico,NM,4100
nwy,New York,NY,3740
ohi,Ohio,OH,2360
okl,Oklahoma,OK,2420
ore,Oregon,OR,3820
pen,Pennsylvania,PA,2720
rho,Rhode Island,RI,1580
sca,South Carolina,SC,2877
sda,South Dakota,SD,1540
ten,Tennessee,TN,2960
tex,Texas,TX,5220
uta,Utah,UT,3320
ver,Vermont,VT,2280
vrg,Virginia,VA,2960
was,Washington,WA,3000
wdc,District of Columbia,DC,1236
wis,Wisconsin,WI,2060
wva,West Virginia,WV,2040
wyo,Wyoming,WY,2440
