Common Name,Scientific Name,Where_Found,Family,Family Common Name,Duration,Growth Habit,Active Growth Period,Flower Color,Foliage Color,Growth Form,Growth Rate,"Height, Mature (feet)",Low Growing Grass,Shape and Orientation,Toxicity,Drought Tolerance,Shade Tolerance,Bloom Period,Bare Root,Bulbs,Container,Corms,Cuttings,Seed,Sod,Sprigs,Tubers,Palatable Human
flexible ceanothus,Ceanothus ×flexilis,USA(CA),Rhamnaceae,Buckthorn family,Perennial,Shrub,Spring and Summer,Blue,Dark Green,Colonizing,Moderate,1,No,Prostrate,Slight,High,Tolerant,Early Summer,Yes,No,Yes,No,Yes,No,No,No,No,No
rosemary,Rosmarinus officinalis,"USA+(PR), USA(CA, NC, OR, SC, TX)",Lamiaceae,Mint family,Perennial,"Shrub, Subshrub",Spring and Summer,Blue,Dark Green,Multiple Stem,Moderate,5,No,Semi-Erect,None,High,Intolerant,Mid Spring,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes
common threesquare,Schoenoplectus pungens var. pungens,"CAN(MB, NB, NF, NS, ON, PE, QC, SK), FRA(SB), USA(AL, AR, CO, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, NH, NJ, NY, OH, PA, RI, SC, SD, TN, VA, VT, WI, WV)",Cyperaceae,Sedge family,Perennial,Graminoid,Summer,Blue,Dark Green,Rhizomatous,Moderate,4.9,No,Erect,None,Low,Intolerant,Late Spring,No,No,No,No,No,No,No,Yes,No,No
common periwinkle,Vinca minor,"CAN(BC, NB, NS, ON, QC), USA(AL, AR, AZ, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, NE, NH, NJ, NY, OH, OR, PA, RI, SC, TN, TX, UT, VA, VT, WA, WI, WV)",Apocynaceae,Dogbane family,Perennial,"Forb/herb, Vine",Spring and Summer,Blue,Dark Green,Stoloniferous,Moderate,0.3,No,Prostrate,Moderate,Medium,Tolerant,Early Summer,Yes,No,Yes,No,No,No,No,No,No,No
California red fir,Abies magnifica,"USA(CA, NV, NY, OR)",Pinaceae,Pine family,Perennial,Tree,Spring and Summer,Brown,Dark Green,Single Stem,Slow,150,No,Erect,None,Low,Tolerant,Late Spring,Yes,No,Yes,No,Yes,Yes,No,No,No,No
northern maidenhair,Adiantum pedatum,"CAN(NB, NS, ON, QC), USA(AL, AR, CT, DC, DE, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, VA, VT, WI, WV)",Pteridaceae,Maidenhair Fern family,Perennial,Forb/herb,Spring and Summer,Brown,Dark Green,Rhizomatous,Moderate,1.3,No,Semi-Erect,None,Low,Tolerant,Summer,No,No,Yes,No,No,No,No,Yes,No,No
crested woodfern,Dryopteris cristata,"CAN(AB, BC, MB, NB, NF, NS, ON, PE, QC, SK), FRA(SB), USA(AL, CT, DC, DE, GA, IA, ID, IL, IN, MA, MD, ME, MI, MN, MO, MT, NC, ND, NE, NH, NJ, NY, OH, PA, RI, TN, VA, VT, WA, WI, WV)",Dryopteridaceae,Wood Fern family,Perennial,Forb/herb,Spring and Summer,Brown,Dark Green,Rhizomatous,Moderate,1.6,No,Erect,None,Low,Tolerant,Summer,No,No,No,No,No,Yes,No,No,No,No
three-way sedge,Dulichium arundinaceum,"CAN(BC, MB, NB, NF, NS, ON, PE, QC), FRA(SB), USA(AK, AL, AR, CA, CT, DC, DE, FL, GA, IA, ID, IL, IN, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, NE, NH, NJ, NY, OH, OK, OR, PA, RI, SC, TN, TX, VA, VT, WA, WI, WV, WY)",Cyperaceae,Sedge family,Perennial,Graminoid,Summer,Brown,Dark Green,Rhizomatous,Moderate,2.6,No,Erect,None,Low,Intermediate,Late Summer,No,No,No,No,No,Yes,No,Yes,No,No
common spikerush,Eleocharis palustris,"CAN(AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT), DEN(GL), FRA(SB), USA(AK, AL, AR, AZ, CA, CO, CT, DC, DE, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)",Cyperaceae,Sedge family,Perennial,Graminoid,Spring,Brown,Dark Green,Rhizomatous,Moderate,1.3,No,Erect,None,Low,Intolerant,Late Spring,No,No,No,No,No,Yes,No,Yes,No,No
slender spikerush,Eleocharis tenuis,"CAN(NB, NS, PE, QC), USA(AL, AR, CT, DC, DE, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MN, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV)",Cyperaceae,Sedge family,Perennial,Graminoid,Spring,Brown,Dark Green,Rhizomatous,Moderate,2.9,No,Erect,None,Low,Intolerant,Late Spring,No,No,No,No,No,Yes,No,Yes,No,No
common rush,Juncus effusus,"CAN(BC, MB, NB, NF, NS, ON, PE, QC), FRA(SB), USA+(PR), USA(AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, TN, TX, VA, VT, WA, WI, WV)",Juncaceae,Rush family,Perennial,Graminoid,Spring,Brown,Dark Green,Bunch,Moderate,6.6,No,Erect,None,Medium,Intolerant,Summer,No,No,No,No,No,Yes,No,Yes,No,No
interrupted fern,Osmunda claytoniana,"CAN(LB, MB, NB, NF, NS, ON, PE, QC), FRA(SB), USA(AL, AR, CT, DC, DE, GA, IA, IL, IN, KY, MA, MD, ME, MI, MN, MO, MS, NC, NH, NJ, NY, OH, PA, RI, SC, TN, VA, VT, WI, WV)",Osmundaceae,Royal Fern family,Perennial,Forb/herb,"Spring, Summer, Fall",Brown,Dark Green,Rhizomatous,Moderate,4,No,Semi-Erect,None,Low,Tolerant,Mid Summer,No,No,Yes,No,Yes,No,No,Yes,No,No
Jeffrey pine,Pinus jeffreyi,"USA(CA, NV, OR)",Pinaceae,Pine family,Perennial,Tree,Spring and Summer,Brown,Dark Green,Single Stem,Rapid,180,No,Erect,None,Medium,Intolerant,Late Spring,Yes,No,Yes,No,Yes,Yes,No,No,No,No
longleaf pine,Pinus palustris,"USA(AL, AR, FL, GA, LA, MS, NC, SC, TX, VA)",Pinaceae,Pine family,Perennial,Tree,Spring and Summer,Brown,Dark Green,Single Stem,Rapid,120,No,Erect,None,Medium,Intolerant,Late Winter,Yes,No,Yes,No,No,Yes,No,No,No,No
western swordfern,Polystichum munitum,"CAN(BC), USA(AK, CA, ID, MT, OR, PA, SD, WA)",Dryopteridaceae,Wood Fern family,Perennial,Forb/herb,"Spring, Summer, Fall",Brown,Dark Green,Rhizomatous,Moderate,3.5,No,Semi-Erect,None,Low,Tolerant,,No,No,Yes,No,No,No,No,Yes,No,No
green bulrush,Scirpus atrovirens,"CAN(MB, NF, ON, QC), USA(AL, AR, AZ, CT, DE, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WA, WI, WV)",Cyperaceae,Sedge family,Perennial,Graminoid,Spring,Brown,Dark Green,Bunch,Moderate,5.9,No,Erect,None,Low,Intolerant,Summer,No,No,No,No,No,Yes,No,Yes,No,No
graceful sedge,Carex gracillima,"CAN(LB, MB, NB, NF, NS, ON, PE, QC), FRA(SB), USA(AL, AR, CT, DC, DE, GA, IA, IL, IN, KY, MA, MD, ME, MI, MN, MO, NC, ND, NH, NJ, NY, OH, PA, RI, SC, TN, VA, VT, WI, WV)",Cyperaceae,Sedge family,Perennial,Graminoid,Spring and Summer,Green,Dark Green,Bunch,Slow,3,No,Semi-Erect,None,Low,Tolerant,Late Spring,Yes,No,No,No,No,Yes,No,Yes,No,No
greater bladder sedge,Carex intumescens,"CAN(LB, MB, NB, NF, NS, ON, PE, QC), FRA(SB), USA(AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV, WY)",Cyperaceae,Sedge family,Perennial,Graminoid,"Spring, Summer, Fall",Green,Dark Green,Bunch,Moderate,3,No,Erect,None,None,Tolerant,Late Spring,Yes,No,No,No,No,Yes,No,Yes,No,No
variable sedge,Carex polymorpha,"USA(CT, DE, MA, MD, ME, NH, NJ, NY, PA, RI, VA, WV)",Cyperaceae,Sedge family,Perennial,Graminoid,Spring and Summer,Green,Dark Green,Rhizomatous,Slow,2,No,Erect,None,Medium,Tolerant,Late Spring,Yes,No,No,No,No,Yes,No,Yes,No,No
bur-reed sedge,Carex sparganioides,"CAN(ON, QC), USA(AL, AR, CT, DC, DE, GA, IA, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, NC, NE, NH, NJ, NY, OH, PA, RI, SC, SD, TN, VA, VT, WI, WV)",Cyperaceae,Sedge family,Perennial,Graminoid,Spring and Summer,Green,Dark Green,Bunch,Moderate,3,No,Semi-Erect,None,Low,Tolerant,Late Spring,Yes,No,No,No,No,Yes,No,Yes,No,No
Deodar cedar,Cedrus deodara,"USA(GA, NC, SC)",Pinaceae,Pine family,Perennial,Tree,Spring,Green,Dark Green,Single Stem,Rapid,60,No,Erect,None,High,Tolerant,Late Summer,Yes,No,Yes,No,No,Yes,No,No,No,No
