Common_Name,Scientific_Name,Family_Common_Name,Duration,Flower_Color,Foliage_Color,Growth_Habit,"Height,_Mature_(feet)",Toxicity,Drought_Tolerance,Shade_Tolerance,Bloom_Period,Palatable_Human
flexible ceanothus,Ceanothus ×flexilis,Buckthorn family,Perennial,Blue,Dark Green,Shrub,1,Slight,High,Tolerant,Early Summer,No
rosemary,Rosmarinus officinalis,Mint family,Perennial,Blue,Dark Green,"Shrub, Subshrub",5,None,High,Intolerant,Mid Spring,Yes
common threesquare,Schoenoplectus pungens var. pungens,Sedge family,Perennial,Blue,Dark Green,Graminoid,4.9,None,Low,Intolerant,Late Spring,No
common periwinkle,Vinca minor,Dogbane family,Perennial,Blue,Dark Green,"Forb/herb, Vine",0.3,Moderate,Medium,Tolerant,Early Summer,No
California red fir,Abies magnifica,Pine family,Perennial,Brown,Dark Green,Tree,150,None,Low,Tolerant,Late Spring,No
northern maidenhair,Adiantum pedatum,Maidenhair Fern family,Perennial,Brown,Dark Green,Forb/herb,1.3,None,Low,Tolerant,Summer,No
crested woodfern,Dryopteris cristata,Wood Fern family,Perennial,Brown,Dark Green,Forb/herb,1.6,None,Low,Tolerant,Summer,No
three-way sedge,Dulichium arundinaceum,Sedge family,Perennial,Brown,Dark Green,Graminoid,2.6,None,Low,Intermediate,Late Summer,No
common spikerush,Eleocharis palustris,Sedge family,Perennial,Brown,Dark Green,Graminoid,1.3,None,Low,Intolerant,Late Spring,No
slender spikerush,Eleocharis tenuis,Sedge family,Perennial,Brown,Dark Green,Graminoid,2.9,None,Low,Intolerant,Late Spring,No
common rush,Juncus effusus,Rush family,Perennial,Brown,Dark Green,Graminoid,6.6,None,Medium,Intolerant,Summer,No
interrupted fern,Osmunda claytoniana,Royal Fern family,Perennial,Brown,Dark Green,Forb/herb,4,None,Low,Tolerant,Mid Summer,No
Jeffrey pine,Pinus jeffreyi,Pine family,Perennial,Brown,Dark Green,Tree,180,None,Medium,Intolerant,Late Spring,No
longleaf pine,Pinus palustris,Pine family,Perennial,Brown,Dark Green,Tree,120,None,Medium,Intolerant,Late Winter,No
western swordfern,Polystichum munitum,Wood Fern family,Perennial,Brown,Dark Green,Forb/herb,3.5,None,Low,Tolerant,,No
green bulrush,Scirpus atrovirens,Sedge family,Perennial,Brown,Dark Green,Graminoid,5.9,None,Low,Intolerant,Summer,No
graceful sedge,Carex gracillima,Sedge family,Perennial,Green,Dark Green,Graminoid,3,None,Low,Tolerant,Late Spring,No
greater bladder sedge,Carex intumescens,Sedge family,Perennial,Green,Dark Green,Graminoid,3,None,None,Tolerant,Late Spring,No
variable sedge,Carex polymorpha,Sedge family,Perennial,Green,Dark Green,Graminoid,2,None,Medium,Tolerant,Late Spring,No
bur-reed sedge,Carex sparganioides,Sedge family,Perennial,Green,Dark Green,Graminoid,3,None,Low,Tolerant,Late Spring,No
Deodar cedar,Cedrus deodara,Pine family,Perennial,Green,Dark Green,Tree,60,None,High,Tolerant,Late Summer,No
Jamaica swamp sawgrass,Cladium mariscus ssp. jamaicense,Sedge family,Perennial,Green,Dark Green,Graminoid,8.2,None,Low,Intolerant,Summer,No
redroot flatsedge,Cyperus erythrorhizos,Sedge family,"Annual, Perennial",Green,Dark Green,Graminoid,2.5,None,Medium,Intolerant,Mid Summer,No
knotted rush,Juncus nodosus,Rush family,Perennial,Green,Dark Green,Graminoid,2,None,Medium,Intolerant,Summer,No
needlegrass rush,Juncus roemerianus,Rush family,Perennial,Green,Dark Green,Graminoid,4.9,None,None,Intolerant,Spring,No
rice cutgrass,Leersia oryzoides,Grass family,Perennial,Green,Dark Green,Graminoid,4.9,None,Low,Intolerant,Indeterminate,No
Nuttall's povertyweed,Monolepis nuttalliana,Goosefoot family,Annual,Green,Dark Green,Forb/herb,0.8,None,Medium,Intolerant,Mid Spring,No
southern bayberry,Morella caroliniensis,Bayberry family,Perennial,Green,Dark Green,"Shrub, Tree",7,None,Low,Tolerant,Spring,No
scentless bayberry,Morella inodora,Bayberry family,Perennial,Green,Dark Green,"Tree, Shrub",23,None,Low,Tolerant,Spring,No
Boston ivy,Parthenocissus tricuspidata,Grape family,Perennial,Green,Dark Green,Vine,2,None,Low,Tolerant,Early Summer,No
swamp smartweed,Polygonum hydropiperoides,Buckwheat family,Perennial,Green,Dark Green,Forb/herb,,None,Low,Intolerant,Indeterminate,No
western brackenfern,Pteridium aquilinum,Bracken Fern family,Perennial,Green,Dark Green,Forb/herb,6.6,Slight,Medium,Tolerant,Summer,No
sawtooth oak,Quercus acutissima,Beech family,Perennial,Green,Dark Green,Tree,70,None,Medium,Intolerant,Mid Spring,No
longleaf starwort,Stellaria longifolia,Pink family,Perennial,Green,Dark Green,Forb/herb,1.5,None,None,Tolerant,Late Spring,No
graybark grape,Vitis cinerea,Grape family,Perennial,Green,Dark Green,Vine,50,None,High,Intermediate,Late Spring,Yes
Japanese zelkova,Zelkova serrata,Elm family,Perennial,Green,Dark Green,Tree,89,None,None,Intolerant,Mid Spring,No
oneseed juniper,Juniperus monosperma,Cypress family,Perennial,Orange,Dark Green,"Shrub, Tree",40,None,High,Intolerant,Early Spring,Yes
Munro's globemallow,Sphaeralcea munroana,Mallow family,Perennial,Orange,Dark Green,"Subshrub, Forb/herb",2.5,None,High,Intolerant,Mid Spring,No
confederate jasmine,Trachelospermum jasminoides,Dogbane family,Perennial,Orange,Dark Green,Vine,2,None,Medium,Intermediate,Early Summer,No
small-leaf arrowwood,Viburnum obovatum,Honeysuckle family,Perennial,Orange,Dark Green,"Shrub, Tree",12,,,Intermediate,Early Spring,No
glossy abelia,Abelia ×grandiflora,Honeysuckle family,Perennial,Purple,Dark Green,Shrub,4,None,Low,Tolerant,Late Summer,No
Fraser fir,Abies fraseri,Pine family,Perennial,Purple,Dark Green,Tree,55,None,Low,Tolerant,Mid Spring,No
thinleaf alder,Alnus incana ssp. tenuifolia,Birch family,Perennial,Purple,Dark Green,"Shrub, Tree",20,None,Low,Intermediate,Early Spring,No
