date,trees,plants,flowers,gardening,isPartial
2016-01-31,16,21,33,2,False
2016-02-07,15,21,50,2,False
2016-02-14,15,22,36,2,False
2016-02-21,18,26,29,3,False
2016-02-28,18,27,32,3,False
2016-03-06,19,26,34,3,False
2016-03-13,20,28,35,3,False
2016-03-20,21,29,37,3,False
2016-03-27,22,28,35,3,False
2016-04-03,20,32,37,3,False
2016-04-10,21,34,37,3,False
2016-04-17,24,36,39,3,False
2016-04-24,23,35,44,4,False
2016-05-01,22,36,72,4,False
2016-05-08,22,36,51,3,False
2016-05-15,20,34,38,3,False
2016-05-22,21,32,36,3,False
2016-05-29,20,31,37,3,False
2016-06-05,19,28,34,3,False
2016-06-12,18,25,32,2,False
2016-06-19,18,25,31,2,False
2016-06-26,17,24,30,2,False
2016-07-03,17,22,29,2,False
2016-07-10,17,21,29,2,False
2016-07-17,16,20,31,2,False
2016-07-24,15,19,29,2,False
2016-07-31,16,19,29,2,False
2016-08-07,15,17,29,2,False
2016-08-14,16,18,26,2,False
2016-08-21,18,18,26,2,False
2016-08-28,18,19,25,2,False
2016-09-04,18,21,27,1,False
2016-09-11,19,23,30,1,False
2016-09-18,18,22,30,1,False
2016-09-25,19,22,36,1,False
2016-10-02,19,21,26,1,False
2016-10-09,19,21,28,1,False
2016-10-16,20,22,26,1,False
2016-10-23,19,22,26,1,False
2016-10-30,20,19,25,1,False
2016-11-06,21,19,23,1,False
2016-11-13,27,21,24,1,False
2016-11-20,37,15,23,1,False
2016-11-27,43,20,24,1,False
2016-12-04,36,20,23,1,False
2016-12-11,26,18,25,1,False
2016-12-18,21,13,24,1,False
2016-12-25,20,13,21,1,False
2017-01-01,16,16,22,1,False
2017-01-08,17,19,25,1,False
2017-01-15,15,19,27,2,False
2017-01-22,16,19,28,2,False
2017-01-29,16,20,31,2,False
2017-02-05,16,21,41,2,False
2017-02-12,17,23,56,2,False
2017-02-19,18,25,30,2,False
2017-02-26,18,25,30,3,False
2017-03-05,19,28,35,3,False
2017-03-12,18,25,33,2,False
2017-03-19,20,28,37,3,False
2017-03-26,20,28,36,3,False
2017-04-02,22,31,37,3,False
2017-04-09,21,33,42,3,False
2017-04-16,23,34,41,3,False
2017-04-23,23,36,45,3,False
2017-04-30,22,36,48,4,False
2017-05-07,21,38,78,4,False
2017-05-14,21,35,49,3,False
2017-05-21,20,34,39,3,False
2017-05-28,21,33,38,3,False
2017-06-04,19,28,36,2,False
2017-06-11,18,27,33,2,False
2017-06-18,18,25,31,2,False
2017-06-25,17,25,30,2,False
2017-07-02,19,25,32,2,False
2017-07-09,18,23,31,2,False
2017-07-16,18,23,29,2,False
2017-07-23,17,22,29,2,False
2017-07-30,18,21,29,2,False
2017-08-06,17,20,29,1,False
2017-08-13,17,19,29,2,False
2017-08-20,16,19,27,1,False
2017-08-27,16,20,27,1,False
2017-09-03,17,20,27,1,False
2017-09-10,19,21,28,2,False
2017-09-17,18,22,30,1,False
2017-09-24,19,22,28,1,False
2017-10-01,18,23,28,1,False
2017-10-08,19,21,28,1,False
2017-10-15,20,22,28,1,False
2017-10-22,19,22,27,1,False
2017-10-29,20,21,25,1,False
2017-11-05,24,21,26,1,False
2017-11-12,28,21,26,1,False
2017-11-19,38,15,23,1,False
2017-11-26,45,20,23,1,False
2017-12-03,37,20,23,1,False
2017-12-10,28,19,25,1,False
2017-12-17,24,16,26,1,False
2017-12-24,19,13,21,1,False
2017-12-31,17,16,23,1,False
2018-01-07,16,19,25,1,False
2018-01-14,15,19,27,1,False
2018-01-21,15,21,28,1,False
2018-01-28,15,21,31,2,False
2018-02-04,15,22,39,2,False
2018-02-11,16,23,60,2,False
2018-02-18,18,24,30,2,False
2018-02-25,18,26,31,2,False
2018-03-04,19,26,32,2,False
2018-03-11,18,27,32,2,False
2018-03-18,19,27,35,3,False
2018-03-25,20,28,35,2,False
2018-04-01,19,29,37,3,False
2018-04-08,21,33,38,3,False
2018-04-15,22,33,40,3,False
2018-04-22,23,37,46,3,False
2018-04-29,24,40,53,4,False
2018-05-06,25,43,83,3,False
2018-05-13,24,39,53,3,False
2018-05-20,22,36,41,3,False
2018-05-27,21,34,38,3,False
2018-06-03,20,31,35,2,False
2018-06-10,20,29,33,2,False
2018-06-17,18,27,33,2,False
2018-06-24,18,27,31,2,False
2018-07-01,20,26,29,2,False
2018-07-08,18,25,30,2,False
2018-07-15,17,23,31,2,False
2018-07-22,18,23,30,2,False
2018-07-29,17,21,30,2,False
2018-08-05,17,22,30,2,False
2018-08-12,17,22,30,2,False
2018-08-19,18,21,30,1,False
2018-08-26,18,21,30,2,False
2018-09-02,18,22,29,1,False
2018-09-09,18,23,29,1,False
2018-09-16,19,24,30,1,False
2018-09-23,19,23,29,1,False
2018-09-30,19,23,29,1,False
2018-10-07,20,23,29,1,False
2018-10-14,19,23,27,1,False
2018-10-21,19,22,25,1,False
2018-10-28,22,21,26,1,False
2018-11-04,25,21,25,1,False
2018-11-11,29,22,24,1,False
2018-11-18,40,15,22,1,False
2018-11-25,49,22,23,1,False
2018-12-02,41,20,23,1,False
2018-12-09,31,20,24,1,False
2018-12-16,25,17,25,1,False
2018-12-23,24,14,21,1,False
2018-12-30,20,17,23,1,False
2019-01-06,17,21,26,1,False
2019-01-13,16,21,27,1,False
2019-01-20,14,22,27,1,False
2019-01-27,14,22,29,1,False
2019-02-03,15,22,37,1,False
2019-02-10,16,24,65,1,False
2019-02-17,16,22,29,2,False
2019-02-24,16,25,29,2,False
2019-03-03,17,26,31,2,False
2019-03-10,18,28,34,2,False
2019-03-17,20,30,35,2,False
2019-03-24,23,34,36,3,False
2019-03-31,24,34,37,3,False
2019-04-07,25,38,39,3,False
2019-04-14,24,36,42,3,False
2019-04-21,26,40,45,3,False
2019-04-28,23,39,47,3,False
2019-05-05,24,42,77,3,False
2019-05-12,24,41,50,3,False
2019-05-19,22,40,39,3,False
2019-05-26,22,39,39,2,False
2019-06-02,20,35,38,2,False
2019-06-09,20,32,33,2,False
2019-06-16,19,29,33,2,False
2019-06-23,19,30,32,2,False
2019-06-30,18,27,30,2,False
2019-07-07,18,28,31,2,False
2019-07-14,18,27,30,2,False
2019-07-21,18,26,30,1,False
2019-07-28,18,24,30,2,False
2019-08-04,17,24,31,2,False
2019-08-11,18,24,29,2,False
2019-08-18,19,24,30,2,False
2019-08-25,18,24,27,1,False
2019-09-01,19,26,29,2,False
2019-09-08,18,26,28,1,False
2019-09-15,20,28,29,1,False
2019-09-22,20,27,28,1,False
2019-09-29,21,26,29,1,False
2019-10-06,20,26,27,1,False
2019-10-13,20,24,28,1,False
2019-10-20,22,24,26,1,False
2019-10-27,29,23,25,1,False
2019-11-03,31,24,26,1,False
2019-11-10,30,23,24,1,False
2019-11-17,33,23,24,1,False
2019-11-24,44,17,20,1,False
2019-12-01,45,21,22,1,False
2019-12-08,34,20,23,1,False
2019-12-15,27,19,24,1,False
2019-12-22,24,14,20,1,False
2019-12-29,19,17,22,1,False
2020-01-05,17,20,25,2,False
2020-01-12,17,23,28,1,False
2020-01-19,17,23,27,2,False
2020-01-26,15,23,29,1,False
2020-02-02,16,24,36,2,False
2020-02-09,16,25,60,2,False
2020-02-16,18,26,33,2,False
2020-02-23,17,28,31,2,False
2020-03-01,18,29,32,2,False
2020-03-08,18,29,30,3,False
2020-03-15,18,28,27,3,False
2020-03-22,24,37,34,4,False
2020-03-29,25,42,38,5,False
2020-04-05,28,50,45,5,False
2020-04-12,27,50,43,5,False
2020-04-19,31,58,52,6,False
2020-04-26,32,64,62,6,False
2020-05-03,31,69,100,6,False
2020-05-10,29,64,63,5,False
2020-05-17,30,61,50,5,False
2020-05-24,28,59,47,4,False
2020-05-31,24,50,43,4,False
2020-06-07,26,50,42,4,False
2020-06-14,25,48,43,4,False
2020-06-21,22,45,40,3,False
2020-06-28,22,42,38,3,False
2020-07-05,21,42,37,3,False
2020-07-12,20,40,38,3,False
2020-07-19,22,39,37,3,False
2020-07-26,21,36,37,3,False
2020-08-02,21,34,37,2,False
2020-08-09,22,34,36,2,False
2020-08-16,21,34,35,2,False
2020-08-23,22,33,33,2,False
2020-08-30,22,36,35,2,False
2020-09-06,22,36,34,2,False
2020-09-13,23,35,34,2,False
2020-09-20,23,36,32,2,False
2020-09-27,23,36,32,2,False
2020-10-04,22,33,31,2,False
2020-10-11,23,31,29,2,False
2020-10-18,22,30,31,2,False
2020-10-25,21,27,30,1,False
2020-11-01,21,22,23,1,False
2020-11-08,30,27,28,2,False
2020-11-15,34,27,27,2,False
2020-11-22,47,22,25,2,False
2020-11-29,49,25,27,2,False
2020-12-06,37,26,29,2,False
2020-12-13,27,23,29,2,False
2020-12-20,25,18,27,2,False
2020-12-27,22,20,25,1,False
2021-01-03,18,24,29,2,False
2021-01-10,17,26,31,2,False
2021-01-17,17,27,30,2,False
2021-01-24,19,31,32,2,True
