date,vegetable garden,flower garden,isPartial
2016-01-31,17,24,False
2016-02-07,19,28,False
2016-02-14,23,38,False
2016-02-21,25,35,False
2016-02-28,29,48,False
2016-03-06,33,52,False
2016-03-13,42,45,False
2016-03-20,34,39,False
2016-03-27,37,38,False
2016-04-03,42,39,False
2016-04-10,40,42,False
2016-04-17,48,48,False
2016-04-24,37,47,False
2016-05-01,35,46,False
2016-05-08,37,40,False
2016-05-15,42,43,False
2016-05-22,40,35,False
2016-05-29,46,41,False
2016-06-05,32,23,False
2016-06-12,34,25,False
2016-06-19,22,22,False
2016-06-26,26,25,False
2016-07-03,18,20,False
2016-07-10,21,21,False
2016-07-17,16,19,False
2016-07-24,17,28,False
2016-07-31,19,20,False
2016-08-07,14,12,False
2016-08-14,11,8,False
2016-08-21,13,13,False
2016-08-28,9,17,False
2016-09-04,15,16,False
2016-09-11,13,18,False
2016-09-18,14,13,False
2016-09-25,12,14,False
2016-10-02,11,18,False
2016-10-09,8,13,False
2016-10-16,9,18,False
2016-10-23,11,12,False
2016-10-30,10,10,False
2016-11-06,7,9,False
2016-11-13,12,13,False
2016-11-20,5,9,False
2016-11-27,7,9,False
2016-12-04,5,11,False
2016-12-11,9,9,False
2016-12-18,6,9,False
2016-12-25,11,11,False
2017-01-01,15,15,False
2017-01-08,12,11,False
2017-01-15,11,16,False
2017-01-22,15,19,False
2017-01-29,16,18,False
2017-02-05,18,18,False
2017-02-12,20,28,False
2017-02-19,26,34,False
2017-02-26,25,38,False
2017-03-05,26,34,False
2017-03-12,24,35,False
2017-03-19,29,44,False
2017-03-26,33,39,False
2017-04-02,32,41,False
2017-04-09,38,42,False
2017-04-16,42,48,False
2017-04-23,41,49,False
2017-04-30,31,44,False
2017-05-07,43,50,False
2017-05-14,40,41,False
2017-05-21,38,36,False
2017-05-28,37,33,False
2017-06-04,30,28,False
2017-06-11,30,30,False
2017-06-18,23,24,False
2017-06-25,28,20,False
2017-07-02,22,25,False
2017-07-09,19,25,False
2017-07-16,21,28,False
2017-07-23,13,22,False
2017-07-30,17,22,False
2017-08-06,16,15,False
2017-08-13,13,20,False
2017-08-20,13,17,False
2017-08-27,13,23,False
2017-09-03,10,14,False
2017-09-10,8,15,False
2017-09-17,11,14,False
2017-09-24,14,16,False
2017-10-01,8,16,False
2017-10-08,10,16,False
2017-10-15,11,14,False
2017-10-22,13,12,False
2017-10-29,9,13,False
2017-11-05,12,13,False
2017-11-12,10,13,False
2017-11-19,5,11,False
2017-11-26,9,10,False
2017-12-03,7,13,False
2017-12-10,8,13,False
2017-12-17,8,15,False
2017-12-24,7,15,False
2017-12-31,13,14,False
2018-01-07,10,14,False
2018-01-14,17,17,False
