date,cactus,succulent,peperomia,peace lily,isPartial
2016-01-31,37,8,0,3,False
2016-02-07,40,8,0,3,False
2016-02-14,40,9,0,3,False
2016-02-21,45,8,0,2,False
2016-02-28,48,9,0,2,False
2016-03-06,47,7,0,2,False
2016-03-13,49,8,0,3,False
2016-03-20,49,9,0,2,False
2016-03-27,51,11,0,4,False
2016-04-03,47,11,0,3,False
2016-04-10,47,12,0,3,False
2016-04-17,46,12,0,3,False
2016-04-24,45,12,0,2,False
2016-05-01,46,12,0,3,False
2016-05-08,46,13,0,3,False
2016-05-15,46,13,0,3,False
2016-05-22,46,10,0,3,False
2016-05-29,46,13,0,3,False
2016-06-05,41,11,0,3,False
2016-06-12,40,11,0,2,False
2016-06-19,39,10,0,3,False
2016-06-26,40,10,0,3,False
2016-07-03,43,12,0,3,False
2016-07-10,38,10,0,3,False
2016-07-17,41,9,0,2,False
2016-07-24,39,11,0,1,False
2016-07-31,39,10,0,2,False
2016-08-07,41,9,0,2,False
2016-08-14,37,9,0,3,False
2016-08-21,38,9,0,3,False
2016-08-28,39,9,0,3,False
2016-09-04,41,9,0,3,False
2016-09-11,39,8,0,2,False
2016-09-18,38,8,0,4,False
2016-09-25,38,9,0,2,False
2016-10-02,39,8,0,1,False
2016-10-09,39,8,0,3,False
2016-10-16,41,9,0,2,False
2016-10-23,40,8,0,2,False
2016-10-30,37,8,0,2,False
2016-11-06,37,7,0,2,False
2016-11-13,42,9,0,1,False
2016-11-20,38,8,0,1,False
2016-11-27,40,7,0,2,False
2016-12-04,44,9,0,2,False
2016-12-11,42,7,0,2,False
2016-12-18,44,8,0,1,False
2016-12-25,56,7,0,2,False
2017-01-01,43,11,0,2,False
2017-01-08,43,7,0,2,False
2017-01-15,42,8,0,2,False
2017-01-22,40,9,0,2,False
2017-01-29,43,11,0,2,False
2017-02-05,40,9,0,2,False
2017-02-12,48,9,0,3,False
2017-02-19,51,10,1,3,False
2017-02-26,46,10,0,3,False
2017-03-05,53,11,0,3,False
2017-03-12,50,12,0,3,False
2017-03-19,52,13,0,3,False
2017-03-26,51,12,0,4,False
2017-04-02,50,14,1,4,False
2017-04-09,51,14,0,4,False
2017-04-16,51,15,0,3,False
2017-04-23,54,15,0,4,False
2017-04-30,53,15,0,3,False
2017-05-07,52,18,1,4,False
2017-05-14,54,18,1,4,False
2017-05-21,50,15,0,3,False
2017-05-28,49,17,0,3,False
2017-06-04,49,14,0,2,False
